emi,channel_key,month,days_in_data,days_with_any_event,daylight_minutes,daylight_coverage_strict,daylight_coverage_zoh
EMI03,RSI_02,2025-12,31,0,22581,0,0
EMI03,RSI_02,2026-01,31,0,22568,0,0
EMI03,RSI_02,2026-02,28,0,20332,0,0
EMI03,RSI_02,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI03,RSI_02,2026-04,30,0,21694,0,0
EMI03,RSI_02,2026-05,31,10,22383,0.00156368672653,0.0192110083546
EMI03,RSI_02,2026-06,30,30,21648,0.00517368810052,0.0693366592757
EMI03,RSI_03,2025-12,31,0,22581,0,0
EMI03,RSI_03,2026-01,31,0,22568,0,0
EMI03,RSI_03,2026-02,28,0,20332,0,0
EMI03,RSI_03,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI03,RSI_03,2026-04,30,0,21694,0,0
EMI03,RSI_03,2026-05,31,10,22383,0.00156368672653,0.0192110083546
EMI03,RSI_03,2026-06,30,30,21648,0.00517368810052,0.0693366592757
EMI04,DHI,2025-12,31,31,22581,0.87874761968,0.975510384837
EMI04,DHI,2026-01,31,31,22568,0.906947890819,0.979883020206
EMI04,DHI,2026-02,28,28,20332,0.873893370057,0.974178634665
EMI04,DHI,2026-03,31,31,22463,0.898588790455,0.979299292169
EMI04,DHI,2026-04,30,30,21694,0.901585691896,0.982068774776
EMI04,DHI,2026-05,31,31,22383,0.877451637403,0.976231961757
EMI04,DHI,2026-06,30,30,21648,0.916435698448,0.983416481892
EMI04,DNIcosZ,2025-12,31,22,22581,0.0256853106594,0.069660333909
EMI04,DNIcosZ,2026-01,31,16,22568,0.00970400567175,0.0320808224034
EMI04,DNIcosZ,2026-02,28,18,20332,0.0510525280346,0.0846448947472
EMI04,DNIcosZ,2026-03,31,27,22463,0.137470507056,0.192449806348
EMI04,DNIcosZ,2026-04,30,28,21694,0.0686364893519,0.126717064626
EMI04,DNIcosZ,2026-05,31,26,22383,0.0887727293035,0.154536925345
EMI04,DNIcosZ,2026-06,30,30,21648,0.108093126386,0.187176644494
EMI04,GHI,2025-12,31,31,22581,0.884416102033,0.97652894026
EMI04,GHI,2026-01,31,31,22568,0.912309464729,0.980724920241
EMI04,GHI,2026-02,28,28,20332,0.88500885304,0.976293527444
EMI04,GHI,2026-03,31,31,22463,0.908605261986,0.981925833593
EMI04,GHI,2026-04,30,30,21694,0.917212132387,0.98497280354
EMI04,GHI,2026-05,31,31,22383,0.891346110888,0.977616941429
EMI04,GHI,2026-06,30,30,21648,0.927799334812,0.985449002217
EMI04,POA,2025-12,31,31,22581,0.880917585581,0.976440370223
EMI04,POA,2026-01,31,5,22568,0.132577100319,0.144718185041
EMI04,POA,2026-02,28,0,20332,0,0
EMI04,POA,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI04,POA,2026-04,30,0,21694,0,0
EMI04,POA,2026-05,31,2,22383,0.000178707054461,0.00285931287138
EMI04,POA,2026-06,30,0,21648,0,0
EMI04,RSI_01,2025-12,31,1,22581,0.000132855055135,0.00212568088216
EMI04,RSI_01,2026-01,31,0,22568,0,0
EMI04,RSI_01,2026-02,28,0,20332,0,0
EMI04,RSI_01,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI04,RSI_01,2026-04,30,0,21694,0,0
EMI04,RSI_01,2026-05,31,2,22383,0.000178707054461,0.00285931287138
EMI04,RSI_01,2026-06,30,0,21648,0,0
EMI04,RSI_02,2025-12,31,30,22581,0.187369912759,0.390018156858
EMI04,RSI_02,2026-01,31,5,22568,0.028801843318,0.0496277915633
EMI04,RSI_02,2026-02,28,0,20332,0,0
EMI04,RSI_02,2026-03,31,2,22463,4.45176512487e-05,0.00071228241998
EMI04,RSI_02,2026-04,30,0,21694,0,0
EMI04,RSI_02,2026-05,31,2,22383,0.000178707054461,0.00285931287138
EMI04,RSI_02,2026-06,30,0,21648,0,0
EMI04,RSI_03,2025-12,31,30,22581,0.205039635091,0.441167353084
EMI04,RSI_03,2026-01,31,31,22568,0.269939737682,0.515907479617
EMI04,RSI_03,2026-02,28,25,20332,0.219801298446,0.415994491442
EMI04,RSI_03,2026-03,31,30,22463,0.263856118951,0.493923340605
EMI04,RSI_03,2026-04,30,30,21694,0.22789711441,0.462155434682
EMI04,RSI_03,2026-05,31,30,22383,0.225170888621,0.438234374302
EMI04,RSI_03,2026-06,30,30,21648,0.315779748707,0.599362527716
EMI05,GHI,2025-12,31,8,22581,0.229086400071,0.253930295381
EMI05,GHI,2026-01,31,31,22568,0.976205246367,0.994549805034
EMI05,GHI,2026-02,28,28,20332,0.996950619713,0.99950816447
EMI05,GHI,2026-03,31,31,22463,0.997996705694,0.999955482349
EMI05,GHI,2026-04,30,30,21694,0.992670784549,0.998386650687
EMI05,GHI,2026-05,31,31,22383,0.993566546039,0.998123575928
EMI05,GHI,2026-06,30,30,21648,0.997320768662,1
