source_sheet,date,maintenance_type,area,equipment,trouble_description,action,start_time,stop_time,status,is_weather_station
Januari 2025,2025-01-13,Preventive,PLTS 20 kV Substation,MV Switchgear,External Outage,Request outage OG.4 NST.2 due to pole-mounted circuit breaker (PMCB) repair in GIS Substation,14:13:00,00:21:00,Close,False
Januari 2025,2025-01-14,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-14,Corrective,Inverter,INV 410,Alarm Low Insulation Resistance,Troubleshooting by insulation resistance retest,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-14,Preventive,Powerhouse and PLTS 20 kV Substation,"Busbar 1 MV Switchgear, STS 1 - STS 5",External Outage,"Request outage Outgoing to PH, OG.1 GSK.3, and OG.2 GSK.2 due to load maneuver of Transformer 2 to Transformer 1 GSK Substation (momentary outage) related to the preparation of energize Kariangau - MMP - Petung",10:12:00,11:26:00,Close,False
Januari 2025,2025-01-15,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-16,Corrective,Inverter,"INV 310, INV 419",Alarm DC Terminal Temperature Abnormal,"Troubleshoot by turn on the AC switch and DC switch, and restart the device",09:00:00,16:00:00,Close,False
Januari 2025,2025-01-16,Corrective,Inverter,INV 708,Alarm Grid Loss/Failure,Troubleshooting by check MCCB in LV cubicle in STS 7,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-16,Corrective,Inverter,INV 804,Alarm Grid Loss/Failure,Troubleshooting by check MCCB in LV cubicle in STS 8,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-16,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-16,Corrective,PLTS 20 kV Substation,MV Switchgear,External Trip Earth fault stage 1 on OG.4 due to trip at NST.2 in GIS Substation,"Normal shutdown, Reset alarm relay, Close CB, and Normal start",17:06:00,20:54:00,Close,False
Januari 2025,2025-01-17,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-17,Preventive,Warehouse,Installation,Installation and cleaning,Installed electricity and water lines in the warehouse to be used as a mess.,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-17,Corrective,Powerhouse,STS BESS 1 & STS BESS 2,Communication Loss,Reading condition on SCADA was always at its last state and Enspire could not be accessed,19:00:00,21:00:00,Close,False
Januari 2025,2025-01-18,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-18,Preventive,Warehouse,Installation,Installation and cleaning,Installed electricity and water lines in the warehouse to be used as a mess.,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-18,Corrective,Powerhouse,Rooftop,Ceiling repair,Patching of damaged ceilings due to leaks,15:00:00,17:00:00,Close,False
Januari 2025,2025-01-18,Preventive,Powerhouse,SCADA Monitor,Moving the SCADA monitor from the server room to the meeting room,The meeting room has more space to place the SCADA monitor,18:00:00,22:00:00,Close,False
Januari 2025,2025-01-19,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-20,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-21,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-22,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-23,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-23,Corrective,Powerhouse,MV Switchgear,"External Trip Undervoltage on J02 Incoming 1, J03 Incoming 2, and J04 Outgoing to GI PLTS 20 kV due to overcurrent trip in Gersik Substation","Normal shutdown, Reset alarm relay, Close CB, and Normal start",12:05:00,13:37:00,Close,False
Januari 2025,2025-01-23,Corrective,Powerhouse,MV Switchgear,External Outage,Request outage OG.2 GSK.2 due to power limitation on busbar 1 to Gersik Substation,13:02:00,18:00:00,Close,False
Januari 2025,2025-01-24,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-25,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
